"event_message","event_type","function_id","id","level","timestamp"
"shutdown","Shutdown","28714c86-4a06-459d-87cd-eafa8fc45496","852e7f84-87fd-4efd-96a3-38c065e993ee","log","1740814676932828"
"Segment 3 text length: 413, Preview: "That's a great point, Bob. Now, let's talk about t..."
","Log","28714c86-4a06-459d-87cd-eafa8fc45496","c9816b27-6eef-472e-8fc3-8283745c2d2d","log","1740814672484417"
"Generating audio for Alice segment 3 with voice alloy (413 chars)
","Log","28714c86-4a06-459d-87cd-eafa8fc45496","435ce9f0-6ae0-41cd-981e-30aa78093def","log","1740814672484205"
"Successfully decoded audio response for segment 2, size: 400800 bytes
","Log","28714c86-4a06-459d-87cd-eafa8fc45496","f1d8fbf9-7085-4599-a3a7-ad0181a0ae20","log","1740814672484060"
"shutdown","Shutdown","28714c86-4a06-459d-87cd-eafa8fc45496","a44ab963-8623-41c2-a17f-3b16ba1a0c8a","log","1740814568935369"
"Segment 2 text length: 321, Preview: "It's also worth noting that this war is not just a..."
","Log","28714c86-4a06-459d-87cd-eafa8fc45496","5aca776b-fa3f-4345-b52a-0a75ee01be52","log","1740814536946375"
"Generating audio for Bob segment 2 with voice onyx (321 chars)
","Log","28714c86-4a06-459d-87cd-eafa8fc45496","dc22bc06-63b1-4db5-a2fa-aa74d5e9e574","log","1740814536946131"
"Successfully decoded audio response for segment 1, size: 488640 bytes
","Log","28714c86-4a06-459d-87cd-eafa8fc45496","5027a03c-56d9-4cb1-807b-f2dbb0835ed9","log","1740814536945904"
"Segment 1 text length: 391, Preview: "Yes, Bob. One of the challenges mentioned in the a..."
","Log","28714c86-4a06-459d-87cd-eafa8fc45496","d8ff6718-0c7f-4b6f-8b83-4e3c12ede6fe","log","1740814531903427"
"Generating audio for Alice segment 1 with voice alloy (391 chars)
","Log","28714c86-4a06-459d-87cd-eafa8fc45496","9abe4ce6-a8c1-46a3-8e38-84331190ffaf","log","1740814531903255"
"Successfully decoded audio response for segment 0, size: 362880 bytes
","Log","28714c86-4a06-459d-87cd-eafa8fc45496","74985e55-3699-40f3-83f6-9c3a0e1ea867","log","1740814531902921"
"Segment 0 text length: 301, Preview: "Absolutely, Alice. Now, let's discuss the challeng..."
